transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
57418350.0,https://condo-sg.com/gardenville-3022,gardenville,condominium,10,nassim,tanglin,jun-17,1776,01 to 05,A,3315000
54684554.0,https://condo-sg.com/lincoln-suites-3350,lincoln suites,condominium,11,moulmein,novena,jul-25,1098,16 to 20,A,2150000
56982829.0,https://condo-sg.com/the-alps-residences-7323,the alps residences,condominium,18,tampines west,tampines,jun-17,936,11 to 15,A,978000
86262283.0,https://condo-sg.com/regal-court-8034,regal court,apartment,12,balestier,novena,dec-21,915,01 to 05,A,965000
36342346.0,https://condo-sg.com/stirling-residences-4617,stirling residences,apartment,3,mei chin,queenstown,aug-20,657,36 to 40,A,1291000
73891467.0,https://condo-sg.com/parc-riviera-6661,parc riviera,condominium,5,west coast,clementi,jun-21,1152,16 to 20,A,1580000
60862137.0,https://condo-sg.com/the-eden-at-tampines-6013,the eden at tampines,executive condominium,18,tampines east,tampines,nov-20,1485,01 to 05,A,1150000
42835403.0,https://condo-sg.com/eastpoint-green-8530,eastpoint green,condominium,18,simei,tampines,oct-21,958,06 to 10,A,806000
28389155.0,https://condo-sg.com/parc-rosewood-7905,parc_rosewood,condominium,25,woodgrove,woodlands,may-19,969,01 to 05,A,850000
43304272.0,https://condo-sg.com/inz-residence-6373,inz residence,executive condominium,23,peng siang,Choa Chu Kang,oct-17,1012,01 to 05,A,787000
31553346.0,https://condo-sg.com/meadows-@-peirce-5890,meadows @ peirce,condominium,26,tagore,ang mo kio,apr-18,915,01 to 05,A,1090000
12994827.0,https://condo-sg.com/jadescape-4777,jadescape,condominium,20,upper thomson,bishan,may-21,904,21 to 25,A,1666000
35521397.0,https://condo-sg.com/coastal-breeze-residences-5882,coastal breeze residences,condominium,17,pasir ris park,pasir ris,may-19,2368,01 to 05,A,1420000
13828781.0,https://condo-sg.com/hundred-palms-residences-2620,hundred palms residences,executive condominium,19,hougang west,hougang,jul-17,1270,06 to 10,A,1060800
92416817.0,https://condo-sg.com/signature-at-yishun-5511,signature at yishun,executive condominium,27,lower seletar,Yishun,aug-17,775,01 to 05,A,569250
52931971.0,https://condo-sg.com/the-woodleigh-residences-6486,the woodleigh residences,apartment,13,bidadari,toa payoh,jul-19,721,06 to 10,A,1371000
72715518.0,https://condo-sg.com/the-visionaire-3931,the visionaire,executive condominium,27,sembawang springs,sembawang,jan-17,1206,06 to 10,A,908000
75387977.0,https://condo-sg.com/the-crest-5467,the crest,condominium,3,alexandra north,bukit merah,oct-17,1,01 to 05,A,2113000
39969005.0,https://condo-sg.com/park-place-residences-at-plq-3559,park place residences at plq,apartment,14,geylang east,geylang,jul-20,1,06 to 10,A,1390000
10975006.0,https://condo-sg.com/ten-@-suffolk-2224,ten @ suffolk,apartment,11,moulmein,novena,nov-19,1087,06 to 10,A,1530000
78714622.0,https://condo-sg.com/penrose-7471,penrose,apartment,14,aljunied,geylang,sep-20,1055,11 to 15,A,1603000
93545042.0,https://condo-sg.com/gallop-green-1395,gallop_green,condominium,10,tyersall,tanglin,feb-19,4252,01 to 05,A,7800000
41598669.0,https://condo-sg.com/parc-canberra-3744,parc canberra,executive condominium,27,sembawang east,sembawang,feb-20,947,06 to 10,A,1090000
10244312.0,https://condo-sg.com/icon-1213,icon,apartment,2,tanjong pagar,downtown core,mar-17,560,11 to 15,A,1000000
84548304.0,https://condo-sg.com/the-crest-7674,the crest,condominium,3,alexandra north,bukit merah,aug-18,797,06 to 10,A,1660000
32281110.0,https://condo-sg.com/parc-canberra-4921,parc canberra,executive condominium,27,sembawang east,sembawang,mar-27,947,11 to 15,A,1053000
55065487.0,https://condo-sg.com/the-imperial-6097,the imperial,condominium,9,fort canning,museum,may-19,1808,06 to 10,A,3770000
25082224.0,https://condo-sg.com/sengkang-grand-residences-1679,sengkang grand residences,apartment,19,compassvale,sengkang,jul-21,764,11 to 15,A,1365600
74896945.0,https://condo-sg.com/inz-residence-8911,inz residence,executive condominium,23,peng siang,choa chu kang,mar-17,1109,06 to 10,A,877000
82628093.0,https://condo-sg.com/the-vue-6069,the vue,apartment,19,upper paya lebar,serangoon,aug-18,463,01 to 05,A,650000
47395360.0,https://condo-sg.com/parc-central-residences-2079,parc central residences,executive condominium,18,tampines west,tampines,feb-21,1055,11 to 15,A,1217000
26937277.0,https://condo-sg.com/the-vines-5974,the vines,apartment,14,kembangan,Bedok,mar-21,1066,01 to 05,A,1215000
37647614.0,https://condo-sg.com/the-quintet-8365,the quintet,executive condominium,23,yew tee,choa chu kang,jun-18,2400,16 to 20,A,1525000
97613775.0,https://condo-sg.com/the-tre-ver-6521,the_tre_ver,condominium,13,potong pasir,toa payoh,apr-19,1098,16 to 20,A,1828000
72782309.0,https://condo-sg.com/parkview-apartments-4208,parkview apartments,apartment,23,bukit batok south,bukit batok,jul-18,1141,11 to 15,A,790000
25171599.0,https://condo-sg.com/sherwood-condominium-4342,sherwood condominium,condominium,21,anak bukit,bukit timah,mar-18,1238,01 to 05,A,1280000
94352087.0,https://condo-sg.com/lakepoint-condominium-2502,lakepoint condominium,condominium,22,taman jurong,jurong west,nov-19,2077,01 to 05,A,1280000
80440818.0,https://condo-sg.com/watertown-5037,watertown,apartment,19,punggol town centre,punggol,jul-19,915,01 to 05,A,1220000
17754928.0,https://condo-sg.com/park-colonial-6542,park colonial,condominium,13,woodleigh,toa payoh,jul-19,936,11 to 15,A,1609000
57427921.0,https://condo-sg.com/kent-ridge-hill-residences-3981,kent ridge hill residences,apartment,5,pasir panjang 2,queenstown,jul-20,775,01 to 05,A,1440000
98074540.0,https://condo-sg.com/the-vales-7120,the vales,executive condominium,19,anchorvale,sengkang,jan-17,753,06 to 10,A,648000
48170621.0,https://condo-sg.com/flo-residence-2842,flo residence,condominium,19,punggol field,punggol,aug-18,969,16 to 20,A,965000
68590939.0,https://condo-sg.com/pebble-bay-5999,pebble bay,condominium,15,tanjong rhu,kallang,jul-18,1894,06 to 10,A,2700000
84266508.0,https://condo-sg.com/royalgreen-4754,royalgreen,condominium,10,holland road,bukit timah,oct-21,721,01 to 05,A,1840000
43550219.0,https://condo-sg.com/the-warren-5675,the_warren,condominium,23,choa chu kang central,choa chu kang,sep-17,1475,06 to 10,A,1260000
95286943.0,https://condo-sg.com/bayshore-park-2508,bayshore_park,condominium,16,bayshore,bedok,mar-19,936,16 to 20,A,1160000
38508381.0,https://condo-sg.com/gallery-8-8875,gallery 8,apartment,15,katong,marine parade,aug-19,1216,01 to 05,A,1418000
42572716.0,https://condo-sg.com/leedon-residence-2887,leedon residence,condominium,10,farrer court,bukit timah,mar-23,5694,11 to 15,A,11400000
22051543.0,https://condo-sg.com/parkview-apartments-3452,parkview apartments,apartment,23,bukit batok south,bukit batok,aug-21,936,01 to 05,A,750000
16618505.0,https://condo-sg.com/piermont-grand-6434,piermont grand,executive condominium,19,punggol town centre,punggol,jul-24,990,01 to 05,A,1064800
11731374.0,https://condo-sg.com/park-place-residences-at-plq-8818,park place residences at plq,apartment,14,geylang east,geylang,mar-17,797,01 to 05,A,1335999
85833285.0,https://condo-sg.com/palm-gardens-7631,palm gardens,condominium,23,keat hong,Choa Chu Kang,jun-23,1216,06 to 10,A,860000
15324067.0,https://condo-sg.com/riverfront-residences-2660,riverfront residences,apartment,19,kangkar,hougang,jul-18,721,11 to 15,A,951000
48267913.0,https://condo-sg.com/ola-1919,ola,executive condominium,19,anchorvale,Sengkang,sep-21,926,01 to 05,A,978000
