transaction_id,url,name,street,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
76181119,http://condo-sg.com/mayfair-modern-5485,mayfair modern,rifle range road,condominium,21,swiss club,bukit timah,aug-20,1206,06 to 10,A,2250000
50779190,http://condo-sg.com/canninghill-piers-2525,canninghill piers,clarke quay,apartment,6,clarke quay,singapore river,nov-21,409,36 to 40,A,1350000
80900955,http://condo-sg.com/palm-isles-1264,palm isles,flora drive,condominium,17,flora drive,pasir ris,mar-17,517,01 to 05,A,558000
80239101,http://condo-sg.com/parc-central-residences-2917,parc central residences,tampines street 86,executive condominium,18,tampines west,tampines,jan-21,1227,06 to 10,A,1432000
77720671,http://condo-sg.com/clydeswood-9534,clydeswood,daisy road,apartment,13,lorong chuan,serangoon,jun-21,1647,01 to 05,A,1780000
98421294,,treasure at tampines,tampines lane,condominium,18,tampines east,tampines,jul-21,861,01 to 05,A,1253000
61941890,http://condo-sg.com/urban-treasures-6128,urban treasures,jalan eunos,condominium,14,kaki bukit,bedok,sep-21,635,06 to 10,A,1246940
81786300,http://condo-sg.com/normanton-park-8661,normanton park,normanton park,apartment,5,kent ridge,queenstown,jun-21,603,21 to 25,A,988000
25362578,http://condo-sg.com/daintree-residence-2803,daintree residence,toh tuck road,condominium,21,anak bukit,bukit timah,mar-20,1044,01 to 05,A,1759150
85330904,http://condo-sg.com/meraprime-3863,meraprime,jalan bukit ho swee,condominium,3,tiong bahru station,bukit merah,nov-17,1119,21 to 25,A,1680000
22205246,http://condo-sg.com/rv-altitude-2681,rv altitude,river valley road,apartment,9,leonie hill,river valley,sep-20,624,06 to 10,A,1750000
33657371,http://condo-sg.com/the-gale-2696,the gale,flora road,condominium,17,flora drive,pasir ris,feb-18,1033,01 to 05,A,916000
18292306,http://condo-sg.com/ola-6113,ola,anchorvale crescent,executive condominium,19,anchorvale,sengkang,sep-21,947,06 to 10,A,1062000
88524939,http://condo-sg.com/the-lakeshore-7856,the lakeshore,jurong west street 41,condominium,22,hong kah,jurong west,jan-17,1163,06 to 10,A,1210000
20375994,,sea esta,pasir ris link,condominium,18,pasir ris park,pasir ris,feb-18,1206,06 to 10,A,1155000
48105589,http://condo-sg.com/balcon-east-3980,balcon east,upper east coast road,apartment,16,bayshore,bedok,aug-20,1453,01 to 05,A,1650000
83664898,http://condo-sg.com/ola-4329,ola,anchorvale crescent,executive condominium,19,anchorvale,sengkang,sep-21,1055,11 to 15,A,1336000
43329836,http://condo-sg.com/sennett-residence-5743,sennett residence,pheng geck avenue,condominium,13,sennett,toa payoh,nov-20,1173,01 to 05,A,1382000
51277518,http://condo-sg.com/skyline-residences-4606,skyline residences,telok blangah road,condominium,4,telok blangah drive,,aug-21,484,01 to 05,A,1038000
